Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,Buzzer,
"C1, C3",0402,2,30pF,
C10,0402,1,4.7uF,
"C11, C13, C2, C24, C39",1206,5,10uF,
C12,0402,1,0.1nF,
"C15, C19",0402,2,1uF,
"C16, C17, C18, C20, C28, C29, C4, C5, C8",0402,9,0.1uF,
C23,0603,1,4.7uF,
"C26, C32, C34, C38, C40, C41, C43, C51, C52",0402,9,100nF,
"C27, C31",0402,2,10uF,
C30,6TPF470MFH,1,6TPF470MFH,
C35,0402,1,10µF,
C36,1206,1,47 µF,
"C42, C6, C9",0603,3,10uF,
C7,0402,1,0.01uF,
"D1, D2",D_SOD-523,2,ESD5Zxx,
"D3, D5",D_SOD-523,2,D_TVS,
D4,SMFA2005CA,1,SZSMF6L5.0AT3G,
E22-400M22S1,E22-400M22S,1,~,
F1,0402,1,Fuse_Small,
F2,0805,1,2016L200PR,
IC1,SOIC127P600X170-9N,1,TPS5430MDDAREP,
IC3,DFN-18-1EP_3x5mm_P0.5mm_EP1.66x4.4mm,1,LTC4415EDHC#TRPBF,
IC4,SON50P200X200X80-9N,1,TPS259531DSGR,
IC5,BMP388,1,BMP388,
IC6,SOIC127P790X216-8N,1,W25Q32JVSSIQ,
J1,USB421603A,1,USB4216-03-A,
"J10, J9",TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,2,Conn_01x02,
"J11, J12",SMA_Molex_73251-2200_Horizontal,2,Conn_Coaxial,
J2,TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,1,BATTERY_CONN,
J3,PinHeader_1x05_P2.54mm_Vertical,1,SWD_CONN,
J4,PinHeader_2x03_P2.54mm_Vertical,1,SERVO_CONN_01,
J5,PinHeader_2x03_P2.54mm_Vertical,1,SERVO_CONN_02,
J6,DM3ATSFPEJM5,1,DM3AT-SF-PEJM5,
J7,TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,1,CAMERA_CONN_01,
J8,TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,1,CAMERA_CONN_02,
"L1, L2",L_6.3x6.3_H3,2,10uH,
Q1,SOT-23,1,2N3904,
"Q2, Q3",SOT-23,2,BSS138,
"Q4, Q5",SOT-23,2,BC847B,
"Q6, Q8",Diodes_PowerDI3333-8,2,DMP3013SFV,
"R1, R14",0402,2,1k,
"R10, R9",0402,2,124,
"R11, R25, R57, R6, R63",0402,5,100k,
"R12, R13",0402,2,33,
"R15, R16, R29, R45, R59, R61, R7",0402,7,10k,
R17,0402,1,5.6k,
"R18, R19, R22, R23",0402,4,100,
"R2, R3",0402,2,5.1k,
"R20, R54",0402,2,1kΩ,
R21,0402,1,21.5k,
R24_2,0402,1,4.7kΩ,
R24,0402,1,5k,
R26,0402,1,6.8k,
R27,0402,1,26.1k,
R30,0402,1,10K*,
R32,0402,1,15.8k,
"R35, R36, R37, R38",0402,4,100Ω,
"R39, R40",0402,2,10kΩ,
"R4, R5",0402,2,22,
"R41, R42, R48",0402,3,220Ω,
"R43, R44",0402,2,4.7K,
"R58, R62",0402,2,47,
"R60, R64",0402,2,3.3k,
R8,0402,1,3.24k,
R9_2,0402,1,47k,
STATUS1,WS2812B,1,WS2812B,
"SW1, SW2",SW_SPST_PTS645Sx43SMTR92,2,SW_Push,
"TX1, TX2, TX3, TX4",0603,4,XL-1608UBC-04,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,MAXM10M00B,1,MAX-M10S,
U3,SOIC127P600X170-9N,1,MP2307DN-LF-Z,
U4,LGA14L,1,LSM6DSO,
Y1,ABMM2,1,ABMM2-12.000MHZ-D1-T,
